,name,type,color,data
0,Women,column,#de2d26,125997
0,Women,column,#de2d26,811
0,Women,column,#de2d26,15073
0,Women,column,#de2d26,706
0,Women,column,#de2d26,1861
0,Women,column,#de2d26,1331
0,Women,column,#de2d26,1722
0,Women,column,#de2d26,5850
0,Women,column,#de2d26,10395
0,Women,column,#de2d26,758
0,Women,column,#de2d26,689
0,Women,column,#de2d26,17426
0,Women,column,#de2d26,1849
0,Women,column,#de2d26,49869
0,Women,column,#de2d26,6621
0,Women,column,#de2d26,12293
0,Women,column,#de2d26,371
0,Women,column,#de2d26,474
0,Women,column,#de2d26,591
0,Women,column,#de2d26,22041
0,Women,column,#de2d26,14611
1,Men,column,#f29d4b,3176436
1,Men,column,#f29d4b,25889
1,Men,column,#f29d4b,410331
1,Men,column,#f29d4b,18048
1,Men,column,#f29d4b,24748
1,Men,column,#f29d4b,37638
1,Men,column,#f29d4b,58463
1,Men,column,#f29d4b,159478
1,Men,column,#f29d4b,276983
1,Men,column,#f29d4b,28017
1,Men,column,#f29d4b,26863
1,Men,column,#f29d4b,450703
1,Men,column,#f29d4b,54396
1,Men,column,#f29d4b,1165826
1,Men,column,#f29d4b,228637
1,Men,column,#f29d4b,423368
1,Men,column,#f29d4b,14054
1,Men,column,#f29d4b,12186
1,Men,column,#f29d4b,25171
1,Men,column,#f29d4b,498373
1,Men,column,#f29d4b,385729
