win,female_commit,male_commit,all_commit
1,0,116,576
2,48,130,587
3,17,32,395
4,0,32,710
5,0,67,499
6,0,119,535
7,0,256,548
8,0,288,892
9,0,130,365
10,0,114,208
11,0,194,308
12,0,184,274
13,0,246,373
14,0,379,462
15,0,793,925
16,134,866,1229
17,184,1677,2689
18,49,1993,2945
19,102,1937,2737
20,104,2288,3082
21,90,2152,3178
22,170,3542,5921
23,123,5182,8214
24,107,5290,7823
25,122,5635,10608
26,503,9238,16217
27,584,10781,17171
28,698,13235,20654
29,736,20152,30858
30,935,30417,48259
31,980,30321,47446
32,1381,36790,58861
33,1265,51870,77666
34,1664,52087,78017
35,2519,59143,89239
36,2080,78277,116794
37,4089,109308,164985
38,4641,108299,171636
39,6251,112437,185374
40,7628,127967,219180
41,10242,158964,261354
42,13023,178197,292984
43,13942,187832,320591
44,16520,216708,385550
45,17311,228164,407522
46,13058,162908,314824
