win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,1077,54,1819,2950,755,35,1132,1922
2,1138,63,2027,3228,836,47,1259,2142
3,1206,75,1996,3277,901,48,1317,2266
4,1311,65,2133,3509,969,48,1433,2450
5,1547,71,2370,3988,1138,44,1578,2760
6,1888,99,2641,4628,1368,62,1715,3145
7,2087,102,2863,5052,1484,60,1763,3307
8,2332,109,3089,5530,1660,58,1953,3671
9,2677,128,3350,6155,1895,78,2118,4091
10,3026,130,3547,6703,2198,87,2330,4615
11,3318,132,3758,7208,2391,89,2376,4856
12,3866,151,4034,8051,2842,97,2664,5603
13,4695,175,4599,9469,3457,107,3010,6574
14,5387,181,5178,10746,4063,116,3412,7591
15,6082,212,5439,11733,4574,151,3658,8383
16,7161,290,6163,13614,5359,177,4217,9753
17,9297,371,8166,17834,6836,246,5571,12653
18,10151,398,9018,19567,7607,283,6119,14009
19,11991,522,11397,23910,8964,352,7756,17072
20,12461,519,11636,24616,9460,354,8265,18079
21,15575,684,14597,30856,11523,460,10222,22205
22,16823,811,16474,34108,12608,529,11534,24671
23,17516,782,17229,35527,13028,538,12103,25669
24,20145,1061,22060,43266,15010,737,15648,31395
25,22911,1250,24927,49088,16975,875,17936,35786
26,23873,1359,26354,51586,17620,948,18993,37561
27,23622,1232,24363,49217,17396,873,17621,35890
28,27148,1534,30431,59113,19978,1036,22068,43082
29,30171,1888,33226,65285,22195,1252,23786,47233
30,32285,2101,38133,72519,23552,1475,27399,52426
31,30246,1834,33228,65308,21880,1283,23680,46843
32,35486,2332,42783,80601,25369,1597,30013,56979
33,34158,2247,38650,75055,23750,1458,26181,51389
34,31212,1996,33723,66931,21693,1310,23053,46056
35,28841,1771,29585,60197,19942,1113,19981,41036
36,30435,1903,34406,66744,20884,1168,23209,45261
37,32867,2212,38681,73760,22087,1352,25199,48638
38,29275,1898,33696,64869,19845,1197,21988,43030
39,27404,1736,30615,59755,18072,1051,19330,38453
40,29225,1944,34186,65355,18762,1158,21004,40924
41,29202,2022,34291,65515,18984,1211,21422,41617
42,27598,1933,34289,63820,18184,1197,21828,41209
43,26280,1878,35667,63825,17044,1158,22283,40485
44,29451,2399,48025,79875,19059,1461,31081,51601
45,28120,2353,47933,78406,18364,1493,31376,51233
46,23266,1960,40105,65331,15697,1301,27024,44022
