win,female_commit,male_commit,all_commit
1,114,8620,14035
2,84,9663,15057
3,117,10073,14916
4,104,11564,16943
5,172,13480,19890
6,161,14886,21764
7,238,14546,20658
8,285,18991,26921
9,387,23032,32017
10,579,22523,32338
11,635,31198,43232
12,1028,38624,52061
13,1420,43771,59723
14,1103,53803,71937
15,1371,59526,79333
16,1366,66067,88053
17,2426,84235,112612
18,1965,87082,113604
19,2388,117906,152343
20,1757,105501,135554
21,2932,156579,201655
22,3502,159936,206661
23,5542,194268,256568
24,5713,211328,281161
25,8142,247952,327873
26,7945,265220,350414
27,8198,288717,378781
28,7772,298568,399009
29,9892,341338,460876
30,11757,347301,471768
31,12945,350490,471133
32,11520,347976,466168
33,14425,389081,530300
34,14923,365900,506256
35,14619,357386,555366
36,15780,387313,544270
37,18141,429680,594628
38,19694,409297,602290
39,19832,407762,589359
40,18450,419700,595723
41,22764,419952,607377
42,23173,393552,575486
43,22756,378190,550666
44,21306,368512,539146
45,22263,358731,532359
46,14187,242850,371150
47,3709,73497,111841
48,5899,113725,181910
49,15763,318089,530652
50,16127,316836,549778
51,15088,270193,480301
52,13628,234492,421778
53,8976,157790,281802
54,0,0,0
55,0,0,0
56,0,0,0
