win,male_all,female_all,unknown_all,all_all,male_core,female_core,unknown_core,all_core
1,46,0,93,139,34,0,76,110
2,67,1,81,149,47,0,71,118
3,91,1,94,186,64,0,76,140
4,119,4,116,239,84,2,92,178
5,175,5,140,320,126,4,102,232
6,202,3,169,374,146,3,112,261
7,261,3,190,454,202,3,133,338
8,255,8,164,427,207,7,134,348
9,321,5,188,514,244,4,151,399
10,377,5,217,599,303,4,174,481
11,482,6,232,720,388,4,182,574
12,593,13,274,880,463,9,212,684
13,825,14,339,1178,606,10,248,864
14,1018,24,428,1470,746,19,310,1075
15,1290,30,526,1846,924,22,393,1339
16,1440,35,601,2076,1047,26,439,1512
17,1908,49,850,2807,1354,36,606,1996
18,2097,56,976,3129,1605,43,731,2379
19,2834,65,1397,4296,2042,46,994,3082
20,2852,60,1463,4375,2130,39,1105,3274
21,3518,83,1827,5428,2626,68,1309,4003
22,3572,71,1999,5642,2754,56,1510,4320
23,4030,99,2369,6498,3021,75,1766,4862
24,4995,158,3003,8156,3674,114,2220,6008
25,5274,179,3292,8745,3961,140,2466,6567
26,5399,237,3465,9101,4134,176,2585,6895
27,5447,243,3712,9402,4112,170,2698,6980
28,5719,227,4212,10158,4262,152,2934,7348
29,6013,274,4194,10481,4580,189,3128,7897
30,6304,325,4719,11348,4623,224,3470,8317
31,6244,280,5026,11550,4559,212,3729,8500
32,6287,351,5355,11993,4670,247,4048,8965
33,5929,266,5063,11258,4405,188,3785,8378
34,5448,226,4604,10278,3971,169,3433,7573
35,4999,207,4354,9560,3651,154,3288,7093
36,4742,184,4137,9063,3473,134,3144,6751
37,4816,215,4119,9150,3458,159,2983,6600
38,4297,203,3903,8403,3122,154,2862,6138
39,4017,165,3731,7913,2762,116,2666,5544
40,4191,186,3677,8054,2981,139,2550,5670
41,3707,174,3313,7194,2604,131,2343,5078
42,3534,186,3155,6875,2464,135,2194,4793
43,3352,165,3213,6730,2314,112,2192,4618
44,3242,167,3310,6719,2226,122,2194,4542
45,2973,155,2956,6084,1973,103,2018,4094
46,2384,147,2426,4957,1671,101,1675,3447
